lang,text
spa,"Perder el tiempo, si te gusta hacerlo, ¡no es una pérdida de tiempo!"
fra,C'était à mon tour de nettoyer la salle.
ita,Siete passati dalla finestra.
fra,Sa santé a empiré la nuit dernière.
fra,Tom a pris un grand verre d'eau.
spa,¡Quién lo iba a pensar!
spa,¿Ese edificio gris?
deu,"Hast du die Angewohnheit, gleich den Fernseher einzuschalten, sobald du nach Hause kommst?"
ita,Sono in pausa.
spa,"SIDA significa ""Síndrome de InmunoDeficiencia Adquirida""."
fra,"Malheureusement, cette revue n'a pas de page de sommaire."
eng,Tom has calmed down a bit.
ita,Spero avesse tutte le cartine in regola.
eng,I am acquainted with the chairman of that club.
deu,Der Schneemann ist von unserem Hof verschwunden.
eng,My chest is aching.
fra,Nous devons régler ça.
fra,Tes chaussures sont usées à force de marche.
eng,Mary told everybody she was bored.
fra,Elles sont déjà rentrées à la maison.
fra,Je parle français avec mes associés.
spa,Es una grasa.
eng,Tom said he had to talk to me.
deu,"Ich glaube, dass Tom und Maria in Schwierigkeiten sind."
deu,Kannst du mir das hier übersetzen?
ita,Mary mi disse che non fumava.
ita,Tutte le persone alte più di un miglio devono allontanarsi dalla Corte.
spa,Me siento orgulloso al ver nuestra bandera verde ondeando al viento.
ita,Lei ha incontrato qualcuno.
deu,Sie schreit noch nicht.
ita,"Tom è aggressivo, però Mary non lo è."
deu,Was halten Sie von dem Film?
fra,Le voilà dans de beaux draps !
ita,Si è divertito con i suoi amici?
deu,"Ich hoffe, Tom ist interessiert."
spa,Tom tuvo una cita con Mary el viernes pasado.
spa,Las habéis puesto de lado.
fra,C'est une théorie controversée.
eng,I'm nothing like him.
spa,Sami es un pianista elogiado.
eng,The problem is not solved.
deu,Daniel starb an akutem Stress.
fra,Je ne voulais pas que tu sois impliqué.
eng,Mary likes to shop at Macy's.
spa,¿Puedes reunirte con él?
ita,Spero non sia così.
deu,"Ich war im Haus, als das passierte."
fra,Il n'aura pas raison.
ita,Stai ancora guardando questo?
ita,"Di che nazionalità erano i suoi nonni? ""Brasiliana."""
spa,¡Me voy de compras!
fra,Pourquoi certains oiseaux peuvent-ils voler très haut dans le ciel ?
ita,Mary mi disse che era ubriaca.
spa,Tom ha dicho que tiene un día libre.
spa,Voy a hacer un truco con solo cuatro cartas.
eng,Ziri has come to milk the ewe.
deu,Die Grammatik des Esperanto ist sehr einfach.
ita,Io non ho voglia di correre fino alla stazione.
deu,Seine Beine und Füße sind stark geschwollen.
spa,El corazón está repleto pero la boca muda.
deu,Wer hat dir diese Information zukommen lassen?
ita,Resta idratato!
spa,Gastaron mucho dinero en esta mezquita.
deu,"Wenn es wie eine Ente aussieht, so schwimmt und so quakt, dann ist es vermutlich eine Ente."
fra,Vous n'êtes pas retournées à Oued Ghir.
deu,Wann treffen Sie sich mit ihr?
spa,¿No te gusta?
spa,"Ellos venden frutas, pan, tortas y muchas otras cosas."
deu,Wo schwimmst du normalerweise?
spa,Los caminos son largos.
spa,Túmbese en la camilla.
eng,She was truly scared by the horror movie and even screamed several times during the screening.
spa,Me gusta donde vivo.
deu,Bestimmt haßt sie mich jetzt.
fra,Ce livre a été écrit par deux personnes.
eng,"Shut up, bitch!"
ita,Quella donna morì.
ita,Tra due ore devi cliccare il link.
eng,I've only read the first part of the book.
eng,"Tom, I want to have a little word with you."
ita,Mi conciliano troppo il sonno.
fra,Tom attendait nerveusement.
deu,Toms Großvater war ein Sklave.
deu,"Sorge dafür, dass er sich nicht dorthin begibt!"
ita,La Sardegna non delude mai!
ita,Volevo darci un'occhiata dentro.
ita,Mary mi disse che ci avrebbe guardato.
deu,Tom hat völlig recht.
spa,Yo sabía que esto iba a pasar.
deu,Letzten Endes kam er nicht wieder.
spa,Pon las luces.
deu,Das ist ein sehr wichtiges Meeting. Sie sollten es nicht verpassen.
ita,Andiamo a fare nuove conoscenze in Irlanda del Nord.
spa,No me gusta que vengas cansado todos los días.
ita,Penso che andrò per amore in Lettonia.
spa,La librería está a dos cuadras de aquí si sigues adelante.
deu,Wiederholung ist die Mutter allen Lernens.
spa,¿Sabes dónde vive la señorita Hudson?
eng,April fools!
ita,È la prima volta di Tom qua.
spa,El río ya no es tan limpio como solía ser.
ita,È stato convertito dal Buddismo al Cristianesimo.
eng,"No, he's our business manager."
fra,Tu as dû dire la vérité.
eng,"By 2030, twenty-one percent of its population will be over sixty-five."
fra,"Oui, c'est moi. Êtes-vous M. Nakano ?"
fra,Leur vie d'époux fut un bonheur absolu.
eng,May I try this jacket on?
fra,"Quelque soit le genre, on se fait quand même baiser."
ita,Siete scesi al suo livello.
ita,Ho detto a Tom che non lo avrei voluto fare mai più.
spa,Todo el mundo sabe que la suerte y la riqueza provocan la envidia.
spa,Me encanta aprender otras lenguas.
ita,Ti rispondo in tempo reale.
ita,"Potrei tornare fra cinque giorni? — Va bene, torni fra cinque gioni."
spa,Va a volver a pasar otra vez.
ita,Adesso è completamente diversa.
deu,Ich bin stolz auf meinen Vater.
fra,Je vous ai dit que j'ai une petite amie.
eng,There's someone at the doorway.
fra,Tom est rentré à Boston pour Noël.
eng,Tom said he thought I might have to do that soon.
spa,¿Esto es un bolígrafo o un lápiz?
ita,Il supermercato non aveva quello che volevo.
fra,J'ai un presse-orange.
ita,Io ho un brutto mal di testa.
deu,Schulde ich dir nicht etwas?
deu,"Es war kleiner, als ich erwartet hatte."
spa,Hubo un gran terremoto en Tokio.
spa,Es rubio.
ita,"Ottenemmo un prezzo equo, in linea con il mercato."
eng,That cat looks just like Cookie.
eng,Our country abounds in products.
deu,"Obwohl der Wecker klingelte, bin ich nicht aufgewacht."
spa,¿Cuándo estuvo en Londres?
fra,Ne parlez pas trop fort ! Vous allez la réveiller.
fra,En êtes-vous sûres ? Pourquoi pas ?
deu,"„Wer sagt denn jetzt die Wahrheit, Tom oder Maria?“ – „Schwer zu sagen.“"
eng,Mosques need to be kept clean.
fra,Il va lui prêter le sien.
eng,You must be Tom's parents.
deu,Das ist in London so Sitte.
fra,Je sais maintenant ce que vous aimez et ce que vous détestez.
deu,"Du bist der Einzige, der das tun möchte."
fra,Je n'ai pas pris conscience que vous étiez éveillée.
fra,Elle kiffe cet acteur.
eng,It is not as good as it looks.
ita,Si è fatto giustizia da solo.
fra,"Ensemble, nous pouvons changer cet état de fait."
deu,"Es ist leichter gesagt als getan, auf den Gipfel des Mont Blanc zu steigen."
ita,Ho sentito dire che Tom e Mary non nuotano più.
deu,Halte deine Versprechen und sei verlässlich!
deu,Natürlich bin ich einverstanden.
deu,Das ist deine Handtasche.
ita,Avete detto loro la verità?
fra,Elle t'attendait tellement !
deu,Wir drehen uns schon wieder im Kreis.
deu,Tom blieb die ganze Nacht hellwach.
eng,Birds began flying away in droves.
deu,Ich habe den Vorhang heruntergelassen.
ita,Tom si vestì per la festa.
fra,De quelle couleur sont vos yeux ?
deu,Sie kann fließend Englisch sprechen.
deu,"Er war verzweifelt, wusste sich keinen Rat mehr."
ita,Tutti la conoscono.
deu,Das sind die Folgen des süßen Lebens.
fra,Je n’oublierai jamais la réponse de Tom.
deu,Das Positiv wurde im Altarraum aufgestellt und begleitete den Chor.
deu,Diese liegt auch in Apotheken aus.
ita,Il ramo si spezzò e lei cadde.
fra,Cachez le gâteau.
deu,Mein Onkel ist Arzt.
deu,Ich bin glücklich hier zu sein.
spa,Algunas personas parecían pensar que los buenos tiempos iban a durar para siempre.
fra,Merci pour le cadeau.
spa,"Quería vivir solo, no en una casa de retiro."
eng,I think that's going to happen very soon.
fra,Je pense qu'on s'est fait avoir.
fra,Il y a beaucoup de crime dans les grandes villes.
deu,Wissenschaftler wollen mit der Plasmatechnik Energie erzeugen.
fra,Qui héritera de ce qu'il a laissé ?
deu,Tom hat Mary fast zu Tode geprügelt.
ita,"Di che nazionalità erano i vostri fratelli? ""Slovacca."""
fra,L'assemblée se tiendra dans la matinée de dimanche.
ita,Sono bisognoso.
ita,La teoria non è accettata.
ita,A me piace lo zucchero a velo.
ita,Le sue figlie sono belle.
deu,"Tu’s nicht für andere, sondern für dich selbst!"
spa,¿Cuándo llegó usted a China?
spa,No sé por qué estoy malhumorado esta mañana.
deu,Wessen Pullover ist das?
spa,¿Dónde y cuándo llegaste a conocerla?
spa,Aquí no hay nada.
deu,Seid ruhig!
fra,Elle souhaite porter plainte.
spa,Vosotras no podéis confiar en él.
eng,I'd like to make a collect call to Los Angeles.
fra,Assurez-vous d'éteindre la lumière quand vous quittez la pièce.
ita,Ci lamentiamo se danno la colpa ai videogiochi.
eng,"I'm not racist, but humans make me uncomfortable."
fra,Je suis désolée de vous avoir blessée.
deu,"Wir fahren um elf los, wenn du in den Berliner Zoo mitkommen willst."
ita,Non vai a costruire scuole in Irlanda?
ita,Tom ci comprò del cibo.
ita,"In questa materia, una guida professionale è d'importanza cruciale."
fra,Profitons-en tant qu'il est absent.
fra,Vous êtes-vous entiché d'elle ?
eng,Tom put on his pajamas and got into bed.
eng,"When Tom told Mary that he'd kissed Alice, she got upset."
fra,Tu ne manges pas de bananes ?
spa,El arma se disparó.
spa,Está en buenas manos.
deu,Danke fürs Über-die-Straße-Helfen.
ita,Perché non vai allo zoo con Tom oggi?
deu,"Thomas will, dass du es für ihn machst."
fra,J'ai acheté une vieille voiture.
spa,Con trabajo todo se alcanza.
fra,On est toujours l'imbécile d'un autre.
spa,Me tendré que cambiar de gafas.
deu,Male die Bäume gegen den Hintergrund des blauen Himmels.
deu,Ich wünschte ihm einen guten Abend.
fra,Le mont Everest est haut de huit mille huit cent quarante-huit mètres.
deu,Tom könnte entlassen werden.
spa,Muchos niños mueren de hambre en África.
deu,Du sprichst ja wie Eco.
eng,Mary was unable to explain herself.
ita,"Dove vai per lavoro? ""In Romania."""
spa,Vivimos en un mundo multilingüístico.
eng,Which materials absorb water?
spa,Ella tuvo que ir parada en el tren.
fra,Il a négligé ses devoirs.
eng,I don't like being told to hurry.
ita,Non getto i suoi libri.
spa,"De pequeño, mi hermano creía que los vencejos del atardecer eran murciélagos."
ita,"Di che nazionalità sono i tuoi cugini? ""Peruviana."""
deu,Verbeugt euch!
fra,C'est un combat de tous contre tous.
deu,"Er konnte Uigurisch schon, bevor er nach Kaschgar kam."
deu,Das ist nicht nur ein einfacher Streit: die führen Krieg miteinander.
ita,"So di saperlo, ma non riesco a ricordarlo."
eng,Layla is never going to see Sami again.
deu,"Achtung, keine Panik!"
fra,Ce chien pourrait avoir le bon tempérament pour travailler dans une ferme.
eng,When was Tom's trial?
ita,"Ora, da dove sei arrivato?"
spa,Soy carpintero desde hace diez años.
spa,"Es mi vecino, pero no le conozco demasiado bien."
spa,Apague su cigarro. Está prohibido fumar aquí.
fra,"Je n'arrive pas, seule, à faire ce travail."
spa,Ese armario no tiene barra.
spa,Vimos tu camión en la carretera.
ita,Non ucciderti.
spa,Mi respuesta es sí.
ita,Tom catturò tre pesci.
spa,"Descálzate antes de entrar, llevas las zapatillas sucias."
deu,"Nur deswegen habe ich euch alle um Rat gebeten, wir müssen einen Ausweg finden!"
ita,Usa Facebook?
ita,Non vado a costruire moschee in Galles?
deu,Möchten Sie nicht meine Seite der Geschichte hören?
deu,Der Minister hat sich bisher nicht dazu geäußert.
ita,Erano vestite.
fra,Nous avons juste peur.
eng,This is a heavy-duty machine.
fra,Il n'a pas pris soin de lui-même.
spa,Entra ya.
eng,I don't know what to do with my leisure.
ita,La deposizione del signor Moon è oggi. Presumo che tu sia preparata per la deposizione di oggi.
spa,"¡Cámarero, cóbrese, por favor!"
ita,Va a costruire stadi in Islanda.
ita,Il lavoro è tutto per me.
spa,A Jon le apasiona la música pop.
eng,I'll have someone show you to your room.
deu,Wir radeln zum See.
ita,"Dove andrai fra un mese? ""In montagna."""
ita,"Di che nazionalità erano i suoi professori? ""Egiziana."""
ita,Il terremoto non è sufficiente.
ita,Tom ha raccomandato Maria.
deu,Hörst du richtig zu?
spa,Eso no fue un error.
ita,La mostra d'arte ha affascinato grandi e piccini.
fra,Les forces de l'ordre étaient en parfait désordre.
ita,Perché non è andato a scuola?
deu,"Das ist eine Frage, die uns ziemlich oft gestellt wird."
spa,A veces damos un paseo en el coche.
eng,Adriano felt the wind blow through him.
ita,Fa abbastanza schifo.
fra,Je vous demande de vous arrêter !
eng,Tom doesn't know if he will come or not.
fra,Viens par ici m'aider.
ita,Penso che non andrai per amore in Estonia.
eng,I don't think Tom and Mary could do that even if they tried.
fra,Salut mon frère et à Dieu.
spa,Sacudí mi cabeza.
ita,Mi riempie di orgoglio.
eng,Tom should have waited for us.
deu,Du musst vor zehn zurück sein.
ita,Andate a costruire edifici in Turchia?
fra,Elle ne peut pas m'arrêter.
ita,Sarà là lunedì?
deu,Niemand hat ihn bedroht.
spa,Vine a besarte.
spa,Esa falda cuesta doscientos dólares.
eng,Tom wasn't aware Mary was in the hospital.
eng,I don't know what time I'll be home.
eng,I'm 25 years old and I've never had a girlfriend.
deu,"Schau, was ich für dich gemacht habe."
spa,¿Qué películas has visto últimamente?
spa,El Sol también brilla por la noche.
spa,No he tenido la oportunidad de ver esa película.
fra,Mike a une jolie raquette.
spa,No debemos aguantar más.
deu,Der Polizist gab dem Fahrer die Schuld an dem Unfall.
eng,I love jokes.
spa,Confío en que podamos hablar antes.
deu,Ich habe dieses Thema eröffnet.
eng,Keep practicing Berber numbers.
eng,Football is the most popular sport in Brazil.
eng,It upset me.
deu,Sie kümmert sich immer um ihre Kinder.
eng,Tom doesn't want Mary there.
deu,Zieh dir was über. Du erkältest dich sonst noch.
fra,Demander ne coûte rien.
fra,Qu'est-ce qui est bon ?
eng,Never say that again.
deu,Du hast alles kaputtgemacht!
deu,Es hat mich an dich erinnert.
spa,Él llevaba un arma consigo.
deu,"Da sie um fünf Uhr losgingen, sollten sie bis sechs Uhr zu Hause ankommen."
ita,Cos'è successo ieri?
deu,"Entschuldigen Sie die Störung, aber mein Auto ist kaputt. Könnten Sie mir wohl helfen?"
ita,Ho portato il brandy.
spa,"Por favor, no me distraiga de mi trabajo."
spa,Quitaos los calcetines.
spa,He perdido mis bongos allá.
deu,Esperantisten feiern gerne.
fra,Eugènie a des grosses fesses.
spa,El neumático de mi bicicleta se ha reventado
fra,Tom a arrêté de boire de l'alcool.
deu,"Was gegen die Natur ist, das ist gegen Gott."
fra,La tour Eiffel est une curiosité touristique.
ita,Io non riesco a risponderle immediatamente.
ita,"Di che nazionalità sono i vostri vicini? ""Statunitense."""
eng,"You've told them, haven't you?"
fra,"Il a plu beaucoup, la route est encore mouillée."
spa,Él me dio no menos que 10000 yenes.
eng,Tom told everyone he was glad that that was going to happen.
spa,No entiendo por qué Alemania ha ganado Eurovisión.
spa,Ella me miró con una sonrisa pícara en su rostro.
fra,"L'ennui, la routine, le manque de curiosité sont les grands ennemis de notre cerveau."
eng,I thought you'd be late.
ita,I pipistrelli sono animali che volano di notte e talvolta dormono nelle caverne.
spa,"Como no había taxis, volvimos caminando."
spa,Fuimos a divertirnos al parque.
eng,I don't do that with anyone but Tom.
spa,Él tiene nueve años.
deu,Freundliche Gedanken sind Blüten des Herzens.
fra,Le coiffeur barbe son client avec précision.
ita,Ha mangiato delle lasagne ieri?
ita,Non voleva vendere la sua auto.
deu,Reiche Leute sind überall daheim.
ita,Il ducato è scomparso.
spa,Deja de jugar con ese tiburón que te va a arrancar la pierna.
eng,Tom and Mary are still looking for a house they can rent.
eng,Tom is a former champion.
ita,Puoi cucinare?
ita,Non scrivermi!
spa,No contéis con nosotros. No vamos a tomar parte en algo tan peligroso.
eng,He gave me tea without sugar.
spa,No puedo escuchar nada cuando estoy usando estos auriculares.
eng,He's capable of doing it.
spa,¿Recuerdas el nombre de tu primer maestro?
eng,Mary said she'd definitely do that.
fra,Sortez-lui la carte.
eng,The man was wearing a striped shirt.
fra,On a eu un été sec.
fra,Vous vous affairiez à préparer le dîner.
eng,I like this one best.
spa,El edificio fue totalmente destruido por el terremoto.
eng,Why don't you come to the party with us?
spa,¿Es hoy su cumpleaños?
eng,Tom filled his glass with wine.
ita,Non vado a costruire università in Libano.
fra,Tom est actuellement en service.
eng,I'm not leaving with him.
fra,Avez-vous à votre connaissance une maladie allergique ?
spa,Llegué a la casa y lo primero que hice fue quitarme los zapatos.
fra,Je suis maladroit avec les femmes.
eng,I speak Kabyle.
spa,¡Para ya o te pegaré!
spa,Ella se cocinó una rica comida.
eng,How would you stop us?
eng,May I speak to you outside?
eng,"A single mistake, and you are a failure."
spa,Él me puso en contacto con los secuestradores.
eng,You cannot light this candle.
eng,How large was the judgment against you?
eng,Tom didn't know Mary had gotten married.
spa,¡El sabor es maravilloso!
deu,Jeden Monat am Zahltag gebe ich meiner Mutter 50.000 Yen.
ita,Ho delle cose che voglio fare.
deu,"Ich bezweifle, dass Tom Interesse daran hätte, den Streitkräften beizutreten."
eng,Tom left for Australia as soon as he got Mary's call.
spa,Tengo una foto tuya en mi billetera.
fra,Le jeune couple mangeait dans la même assiette.
fra,"Le mot ""algorithme"" vient de la langue arabe."
deu,Ich stecke in der Tinte.
ita,Ti mette in imbarazzo la cosa?
spa,A los niños les gusta jugar al aire libre.
deu,Ich träume noch immer von Tom.
eng,"Losing his respect isn't easy, but neither is earning it back."
spa,Sami sigue interesado en Laila.
spa,Hubo una tormenta violenta en el mar.
ita,Sei sicuro di avergli confermato la tua visita?
deu,Ich wurde von meiner Lehrerin ausgeschimpft.
eng,Do you have any interest in sports?
eng,He must stay there.
fra,Promène-toi chaque jour.
fra,J’améliore mon breton.
fra,Tom est parti pêcher peu avant l'aube.
spa,¿No os gusta jugar conmigo?
ita,Io sono pronta! Possiamo andare?
spa,¿Quién está acompañando a Alicia?
eng,Let's have a moment of silence.
fra,Pourquoi penses-tu que je vais suivre Tom ?
fra,"Étant donné la pluie et un hôtel pourri, nous n'avons pas vraiment goûté nos vacances."
deu,Warum bist du so ungeschickt?
ita,Agli uomini piace parlare.
eng,I want to hire a helper.
deu,Ich muss heute mit Ihnen tanzen.
ita,Non si paragoni a lui.
fra,Resterez-vous ?
eng,Let's not get into that right now.
deu,"Kunst ist nicht Luxus, sondern Notwendigkeit."
spa,No quiero hacerlo otra vez.
deu,"Sie werden Sie fragen, warum Sie Lehrer werden wollen."
fra,On dirait que tu veux dire quelque chose.
ita,Lui è molto timido. Dice che vuole vedervi.
fra,Je comble le vide.
deu,Sei nicht so leichtgläubig!
eng,I think Tom is strong.
ita,L'ha appena vista.
deu,Tom trinkt nicht gerne Milch.
fra,L'effet de congruence émotionnelle facilite le rappel d'informations de même valence affective.
eng,It would be depressing to do that again.
deu,Zum Tee wurde Gebäck gereicht.
ita,Avevo la stessa sensazione.
deu,Sami aß die Suppe.
eng,Don't be mistaken.
ita,Tom è molto occupato in questo momento.
deu,"Es regnete so stark, dass alle Schweine rein und alle Menschen dreckig wurden."
ita,Ti giuro che non so come ho fatto a non morire lì dal ridere.
fra,La fenêtre est là.
spa,La película que Tom y Mary vieron juntos tuvo un final feliz.
fra,Ça fait 4 ans que j'ai commencé à faire ce travail.
ita,Non mi sono mai sentito meglio.
ita,Non ti avvicinare alla luce!
fra,Qui sont les Latins ?
ita,Sami vuole dell'acqua.
eng,Tom shouldn't have spent so much money.
fra,Que penses-tu de sa proposition ?
eng,I'll tell him you came by.
fra,N’a-t-il donc pas promis qu’il reviendrait ?
deu,Mit jedem neuen Buch wird unsere Literatur reicher.
deu,Meiner Meinung nach hätte er es besser gekonnt.
ita,Mi dispiace di non essere potuto venire.
fra,Elle se balade à Boudafal.
ita,Ho avuto successo per via del suo consiglio.
eng,Did you think I'd give up so easily?
fra,Elles ne sont pas obligées de trahir leurs frères.
ita,Il suo imbarazzo era evidente sul suo viso arrossato dal rossore.
ita,Per il momento sono libera.
spa,Los agricultores obtuvieron buenas cosechas.
spa,Me ha hecho quedar como un mentiroso.
fra,"Ils ne trouvent que des excuses, fiston !"
deu,"Grade das Gegenteil tun heißt auch nachahmen, es heißt nämlich das Gegenteil nachahmen."
fra,Tom a torturé un prisonnier.
spa,Dicen que está enferma.
deu,Wir haben viel Geld verloren.
spa,Tom abrió la lata con un abrelatas.
spa,Está prohibida la entrada a personas que consuman bebidas alcohólicas.
deu,Sie wohnen nebenan.
deu,Ich hätte das nicht ohne Ihre Hilfe geschafft.
eng,Tom said that he didn't know that Mary was going to do that.
ita,Lei è razionale.
fra,Tom prend plaisir à tout ce qu'il fait.
eng,What else do you need to put in your suitcase?
spa,"Quién siembra vientos, recoge ciclones."
fra,Tom se masturbe.
fra,Nous avons des pistolets dans la maison.
ita,La sofferenza che si cagiona è l'ultima di cui ci si accorge.
ita,Nel 1923 l'Iraq diventa indipendente.
eng,I met a novelist and a poet.
deu,"Ich wünschte, es gäbe eine bessere Übersetzung von diesem Buch."
spa,"¡Oh vaya, mis pantalones blancos! Eran nuevos."
fra,Je n'ai jamais eu d'ami comme toi auparavant.
ita,Vai a costruire ospedali in Irlanda del Nord.
spa,Le pedí que hicieran las paces.
fra,Tu t'es tu.
eng,I don't know what's happening in there.
deu,Diese Geschichte müssen wir erzählen.
eng,I'm a Swiss.
eng,Pull the other one.
ita,Sta mettendo a dura prova la mia pazienza.
deu,"Tom und Maria haben sich scheiden lassen — ganz so, wie du voraussagtest."
eng,Yeast makes beer ferment.
ita,Yanni si è convertito all'Islam lo scorso aprile.
eng,Would you come to my quarters?
spa,Has oído lo que ha dicho mi madre.
eng,I am in Berlin.
deu,Ich kann ihm alles erzählen.
deu,Die Einbrecher kamen am helllichten Tag.
spa,Atacó de repente.
fra,La séduction devient intéressante lorsque l'un des protagonistes se fait désirer.
ita,Siamo stati costretti ad andarcene.
deu,"Es bringt überhaupt nichts, dass wir jetzt aufeinander herumhacken."
spa,Le mostraré el interior de la casa.
fra,Il y a plusieurs choses à voir là-bas.
spa,Él pagó 1.000 yenes por este libro.
spa,Estaría contento si pagaras en efectivo.
deu,Ich werde das sagen: ich bin unschuldig.
spa,Hace un buen rato que está lloviendo y no tiene pinta de parar.
eng,A plane emerged from who knows where.
eng,Why are you annoying your sister?
deu,"Könnt ihr wenigstens eine Vermutung äußern, wo Tom zu finden sein könnte?"
spa,Ella pasa tiempo con su abuela todos los domingos.
deu,Toms Hunde teilten sein Bett und seine Tafel. Sie folgten ihm überallhin nach.
spa,Hay más de 100 personas en la habitación.
spa,Tengo la sensación de que ella vendrá hoy.
eng,"In the Netherlands, I sometimes miss the variety of landscapes you see in other countries."
deu,"Messer, Gabel und Schere sind nichts für ein Baby."
ita,Sto perdendo la ragione.
ita,"Dove andrete fra un mese? ""In Messico."""
ita,Perché dovrei fidarmi di lei?
fra,Il est très en colère.
fra,Il rentra chez lui sans dire quoi que ce soit.
spa,Es absolutamente injustificable e inaceptable.
spa,Ahora mismo no está lloviendo.
fra,Il peut faire ce qu'il veut.
spa,Él tomó el avión para América.
eng,Tom probably doesn't know why Mary is doing that.
fra,Qu'est-ce que t'as fait bâtard ?
ita,Siete stati bravi soldati.
ita,Sto cominciando a mangiare.
fra,Je suis plus qu'une amie.
eng,There's a degree of stress in every job.
ita,Lo comprerei.
deu,Kumi spielt gerade Tennis.
deu,"Die Soldaten sind fortgegangen, das Gewehr ist verstummt, nun herrscht auf den Straßen wieder Ruhe."
spa,Apareció un hombre detrás de la puerta.
ita,Tre amici di Tom sono già in prigione.
fra,Retourne là où tu as commencé.
fra,Tom est de garde.
spa,¿Cómo puedes leer tan rápido?
ita,Non voglio discutere dei problemi di Tom con te.
deu,Habt ihr in diesen Umschlag geschaut?
spa,Gracias por el consejo. Lo voy a probar.
ita,Vuole andare a Malta?
fra,Nous sommes des danseuses du ventre.
eng,Does anyone else use your account?
ita,La scuola è vicina alla moschea.
spa,La necesidad no respeta la ley.
eng,Tell her you're not ready.
fra,Elle n'a pas autant de patience que toi.
eng,Tom says Australia is his favorite place to visit in October.
ita,"Le fragole sono una delizia estiva, dolci e succose."
spa,No tienes más que pedirlo.
ita,Che cosa fisserà?
eng,We think we can do it.
ita,Tom non sarà ferito.
spa,¿Quién es la persona sentada en la otra esquina de la mesa?
eng,He has the faculty to learn languages easily.
deu,Tom hasst seine Eltern.
spa,Sueño con hacerme profesor.
deu,"Wir wussten nicht, was wir machen sollten."
fra,Il a une mauvaise écriture.
deu,Du bist ganz anders.
fra,Il y a beaucoup de langues ergatives dans le monde et le basque en fait partie.
deu,"Es gibt niemanden, der ihn ersetzen könnte."
eng,It's really going to help you in your career.
eng,His wife kicked him out of the house.
deu,Herr Jackson ist ein sehr schlechter Lehrer.
spa,Hice muchos amigos.
deu,Noch nie hörte ich eine so traurige Geschichte.
deu,Entsetzen stand ihm im Gesicht geschrieben.
deu,Sex ist Unterhaltung für die Armen.
eng,Let me ask Tom about it.
spa,Me sobra de todo.
ita,"Di che nazionalità erano le loro sorelle? ""Statunitense."""
deu,Ignorieren Sie nicht die wichtigste Frage!
eng,It's really dark in here.
ita,Mi affaccio alla finestra.
fra,"Si tu vois que j’oublie, rappelle-moi."
fra,Je suis fier de mes enfants.
ita,L'ho vista ballare.
spa,Estoy estudiando francés por mi cuenta.
fra,Mark Twain était un romancier américain.
eng,They only made things worse.
ita,Vanno a insegnare qualcosa a Cipro.
deu,Erinnerst du dich an nichts?
deu,Die Fortsetzung folgt.
deu,Lebt die Schlange?
ita,Lui probabilmente non verrà.
fra,"Au cours de ma vie, j'ai fait beaucoup d'erreurs."
deu,Ich bin ein Allesfresser.
deu,"Wir müssen mit dem auskommen, was wir haben."
ita,Ha un po' di confusione in testa.
fra,Vous les expliquera-t-il ?
deu,Kein Instrument ist versnobter als die Piccolotrompete.
deu,Lasst die Kinder Kinder sein.
spa,Él exageró malamente su capacidad para lograr un gran avance.
deu,"Er hat mir erzählt, daß er gerne schwimme."
